City,Name,Category,Address,Distance (meters),Google_Rating,Reviews,Latitude,Longitude
Kolkata,Balaram Mullick and Radharaman Mullick,Bakery,"2 Paddapukur Road, Kolkata 700020, West Bengal",3667,4.3,9027,22.5518208,88.3533682
Kolkata,6 Ballygunge Place,Bengali Restaurant,"6 Bondel Road, Ballygunge, Kolkata 700019, West Bengal",3923,0,0,22.5277993,88.3686373
Pune,Mad Over Donuts,Bakery,"Near Sambhaji Park, Jm Road, Pune 411004, Mahārāshtra",1057,4.1,1303,18.5391312,73.8990439
Pune,Cafe Goodluck,Café,"759/75, Goodluck (Corner of FC Road and Bhandarkar Road), Pune 411004, Mahārāshtra",1480,0,0,18.5523169,73.7938289
Pune,Vaishali | वैशाली,South Indian Restaurant,"P-1218/1, Fergusson College Road (Fergusson College Rd), Pune 411004, Mahārāshtra",1489,0,0,18.520848,73.8412179
Pune,Le Plaisir,Bistro,"Shop No. 4B, Lane 6 Intersection, Off Bhandarkar Road, Deccan Gymkhana (Opp. Kelkar Eye Hospital, Prabhat Road), Pune 411004, Mahārāshtra",1867,0,0,18.5143251,73.8386328
Pune,Kayani Bakery,Bakery,"6 Dr Coyage Road, East Street (Gurudwara Road), Pune 411040, Mahārāshtra",2636,0,0,18.514857,73.8800072
Pune,Barometer,Café,"12/7 Chintaman Pride, City Pride Road, Kothrud, Pune 411038, Mahārāshtra",4449,0,0,18.4988618,73.8192031
Pune,Falahaar,Fast Food Restaurant,"Shop No. 24, Gagan Galaxy, Gangadham, Kondhwa Road, Bibvewadi, Pune 411037, Mahārāshtra",4846,4.2,7311,18.5520446,73.8041016
Pune,Malaka Spice,Korean Restaurant,"Vrindavan Apartments, Off. North Main Road, Koregaon Park (Between North Main Road & Lane 8), Pune 411001, Mahārāshtra",4889,0,0,18.5595213,73.7906052
Pune,Naughty Angel Cafe,Restaurant,"12 Princeton Flair, Lane No 8, Meera Nagar Society (Koregaon Park), Pune 411001, Mahārāshtra",5036,0,0,18.5364616,73.8995909
Pune,Mad Over Donuts,Bakery,"Near Sambhaji Park, Jm Road, Pune 411004, Mahārāshtra",1057,4.1,1303,18.5391312,73.8990439
Pune,Cafe Goodluck,Café,"759/75, Goodluck (Corner of FC Road and Bhandarkar Road), Pune 411004, Mahārāshtra",1480,0,0,18.5523169,73.7938289
Pune,Vaishali | वैशाली,South Indian Restaurant,"P-1218/1, Fergusson College Road (Fergusson College Rd), Pune 411004, Mahārāshtra",1489,0,0,18.520848,73.8412179
Pune,Le Plaisir,Bistro,"Shop No. 4B, Lane 6 Intersection, Off Bhandarkar Road, Deccan Gymkhana (Opp. Kelkar Eye Hospital, Prabhat Road), Pune 411004, Mahārāshtra",1867,0,0,18.5143251,73.8386328
Pune,Kayani Bakery,Bakery,"6 Dr Coyage Road, East Street (Gurudwara Road), Pune 411040, Mahārāshtra",2636,0,0,18.514857,73.8800072
Pune,Barometer,Café,"12/7 Chintaman Pride, City Pride Road, Kothrud, Pune 411038, Mahārāshtra",4449,0,0,18.4988618,73.8192031
